symbol,security_id,exchange_segment,instrument,universe,Company Name,Industry,Series,ISIN Code,batch_number,batch_size
AJANTPHARM,8124,NSE_EQ,EQUITY,NIFTY500,Ajanta Pharmaceuticals Ltd.,Healthcare,EQ,INE031B01049,1,50
ALKEM,11703,NSE_EQ,EQUITY,NIFTY500,Alkem Laboratories Ltd.,Healthcare,EQ,INE540L01014,1,50
AMBER,1185,NSE_EQ,EQUITY,NIFTY500,Amber Enterprises India Ltd.,Consumer Durables,EQ,INE371P01015,1,50
AMBUJACEM,1270,NSE_EQ,EQUITY,NIFTY500,Ambuja Cements Ltd.,Construction Materials,EQ,INE079A01024,1,50
ANANDRATHI,7145,NSE_EQ,EQUITY,NIFTY500,Anand Rathi Wealth Ltd.,Financial Services,EQ,INE463V01026,1,50
ANANTRAJ,13620,NSE_EQ,EQUITY,NIFTY500,Anant Raj Ltd.,Realty,EQ,INE242C01024,1,50
ANGELONE,324,NSE_EQ,EQUITY,NIFTY500,Angel One Ltd.,Financial Services,EQ,INE732I01021,1,50
ANTHEM,757885,NSE_EQ,EQUITY,NIFTY500,Anthem Biosciences Ltd.,Healthcare,EQ,INE0CZ201020,1,50
ANURAS,2829,NSE_EQ,EQUITY,NIFTY500,Anupam Rasayan India Ltd.,Chemicals,EQ,INE930P01018,1,50
APARINDS,11491,NSE_EQ,EQUITY,NIFTY500,Apar Industries Ltd.,Capital Goods,EQ,INE372A01015,1,50
APLAPOLLO,25780,NSE_EQ,EQUITY,NIFTY500,APL Apollo Tubes Ltd.,Capital Goods,EQ,INE702C01027,1,50
APOLLOHOSP,157,NSE_EQ,EQUITY,NIFTY500,Apollo Hospitals Enterprise Ltd.,Healthcare,EQ,INE437A01024,1,50
APOLLOTYRE,163,NSE_EQ,EQUITY,NIFTY500,Apollo Tyres Ltd.,Automobile and Auto Components,EQ,INE438A01022,1,50
APTUS,5435,NSE_EQ,EQUITY,NIFTY500,Aptus Value Housing Finance India Ltd.,Financial Services,EQ,INE852O01025,1,50
ARE&M,100,NSE_EQ,EQUITY,NIFTY500,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,EQ,INE885A01032,1,50
ASAHIINDIA,5378,NSE_EQ,EQUITY,NIFTY500,Asahi India Glass Ltd.,Automobile and Auto Components,EQ,INE439A01020,1,50
ASHOKLEY,212,NSE_EQ,EQUITY,NIFTY500,Ashok Leyland Ltd.,Capital Goods,EQ,INE208A01029,1,50
ASIANPAINT,236,NSE_EQ,EQUITY,NIFTY500,Asian Paints Ltd.,Consumer Durables,EQ,INE021A01026,1,50
ASTERDM,1508,NSE_EQ,EQUITY,NIFTY500,Aster DM Quality Care Ltd.,Healthcare,EQ,INE914M01019,1,50
ASTRAL,14418,NSE_EQ,EQUITY,NIFTY500,Astral Ltd.,Capital Goods,EQ,INE006I01046,1,50
ATGL,6066,NSE_EQ,EQUITY,NIFTY500,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE399L01023,1,50
ATHERENERG,757645,NSE_EQ,EQUITY,NIFTY500,Ather Energy Ltd.,Automobile and Auto Components,EQ,INE0LEZ01016,1,50
ATUL,263,NSE_EQ,EQUITY,NIFTY500,Atul Ltd.,Chemicals,EQ,INE100A01010,2,50
AUBANK,21238,NSE_EQ,EQUITY,NIFTY500,AU Small Finance Bank Ltd.,Financial Services,EQ,INE949L01017,2,50
AUROPHARMA,275,NSE_EQ,EQUITY,NIFTY500,Aurobindo Pharma Ltd.,Healthcare,EQ,INE406A01037,2,50
AWL,8110,NSE_EQ,EQUITY,NIFTY500,AWL Agri Business Ltd.,Fast Moving Consumer Goods,EQ,INE699H01024,2,50
AXISBANK,5900,NSE_EQ,EQUITY,NIFTY500,Axis Bank Ltd.,Financial Services,EQ,INE238A01034,2,50
BAJAJ-AUTO,16669,NSE_EQ,EQUITY,NIFTY500,Bajaj Auto Ltd.,Automobile and Auto Components,EQ,INE917I01010,2,50
BAJAJFINSV,16675,NSE_EQ,EQUITY,NIFTY500,Bajaj Finserv Ltd.,Financial Services,EQ,INE918I01026,2,50
BAJAJHFL,25270,NSE_EQ,EQUITY,NIFTY500,Bajaj Housing Finance Ltd.,Financial Services,EQ,INE377Y01014,2,50
BAJAJHLDNG,305,NSE_EQ,EQUITY,NIFTY500,Bajaj Holdings & Investment Ltd.,Financial Services,EQ,INE118A01012,2,50
BAJFINANCE,317,NSE_EQ,EQUITY,NIFTY500,Bajaj Finance Ltd.,Financial Services,EQ,INE296A01032,2,50
BALKRISIND,335,NSE_EQ,EQUITY,NIFTY500,Balkrishna Industries Ltd.,Automobile and Auto Components,EQ,INE787D01026,2,50
BALRAMCHIN,341,NSE_EQ,EQUITY,NIFTY500,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,EQ,INE119A01028,2,50
BANDHANBNK,2263,NSE_EQ,EQUITY,NIFTY500,Bandhan Bank Ltd.,Financial Services,EQ,INE545U01014,2,50
BANKBARODA,4668,NSE_EQ,EQUITY,NIFTY500,Bank of Baroda,Financial Services,EQ,INE028A01039,2,50
BANKINDIA,4745,NSE_EQ,EQUITY,NIFTY500,Bank of India,Financial Services,EQ,INE084A01016,2,50
BATAINDIA,371,NSE_EQ,EQUITY,NIFTY500,Bata India Ltd.,Consumer Durables,EQ,INE176A01028,2,50
BAYERCROP,17927,NSE_EQ,EQUITY,NIFTY500,Bayer Cropscience Ltd.,Chemicals,EQ,INE462A01022,2,50
BBTC,380,NSE_EQ,EQUITY,NIFTY500,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,EQ,INE050A01025,2,50
BDL,2144,NSE_EQ,EQUITY,NIFTY500,Bharat Dynamics Ltd.,Capital Goods,EQ,INE171Z01026,2,50
BEL,383,NSE_EQ,EQUITY,NIFTY500,Bharat Electronics Ltd.,Capital Goods,EQ,INE263A01024,2,50
BELRISE,757102,NSE_EQ,EQUITY,NIFTY500,Belrise Industries Ltd.,Automobile and Auto Components,EQ,INE894V01022,2,50
BEML,395,NSE_EQ,EQUITY,NIFTY500,BEML Ltd.,Capital Goods,EQ,INE258A01024,2,50
BERGEPAINT,404,NSE_EQ,EQUITY,NIFTY500,Berger Paints India Ltd.,Consumer Durables,EQ,INE463A01038,2,50
BHARATFORG,422,NSE_EQ,EQUITY,NIFTY500,Bharat Forge Ltd.,Automobile and Auto Components,EQ,INE465A01025,2,50
BHARTIARTL,10604,NSE_EQ,EQUITY,NIFTY500,Bharti Airtel Ltd.,Telecommunication,EQ,INE397D01024,2,50
BHARTIHEXA,23489,NSE_EQ,EQUITY,NIFTY500,Bharti Hexacom Ltd.,Telecommunication,EQ,INE343G01021,2,50
BHEL,438,NSE_EQ,EQUITY,NIFTY500,Bharat Heavy Electricals Ltd.,Capital Goods,EQ,INE257A01026,2,50
BIKAJI,11966,NSE_EQ,EQUITY,NIFTY500,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,EQ,INE00E101023,2,50
BIOCON,11373,NSE_EQ,EQUITY,NIFTY500,Biocon Ltd.,Healthcare,EQ,INE376G01013,2,50
BLS,17279,NSE_EQ,EQUITY,NIFTY500,BLS International Services Ltd.,Consumer Services,EQ,INE153T01027,2,50
BLUEDART,495,NSE_EQ,EQUITY,NIFTY500,Blue Dart Express Ltd.,Services,EQ,INE233B01017,2,50
BLUEJET,19686,NSE_EQ,EQUITY,NIFTY500,Blue Jet Healthcare Ltd.,Healthcare,EQ,INE0KBH01020,2,50
BLUESTARCO,8311,NSE_EQ,EQUITY,NIFTY500,Blue Star Ltd.,Consumer Durables,EQ,INE472A01039,2,50
BOSCHLTD,2181,NSE_EQ,EQUITY,NIFTY500,Bosch Ltd.,Automobile and Auto Components,EQ,INE323A01026,2,50
BPCL,526,NSE_EQ,EQUITY,NIFTY500,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE029A01011,2,50
BRIGADE,15184,NSE_EQ,EQUITY,NIFTY500,Brigade Enterprises Ltd.,Realty,EQ,INE791I01019,2,50
BRITANNIA,547,NSE_EQ,EQUITY,NIFTY500,Britannia Industries Ltd.,Fast Moving Consumer Goods,EQ,INE216A01030,2,50
BSE,19585,NSE_EQ,EQUITY,NIFTY500,BSE Ltd.,Financial Services,EQ,INE118H01025,2,50
BSOFT,6994,NSE_EQ,EQUITY,NIFTY500,Birlasoft Ltd.,Information Technology,EQ,INE836A01035,2,50
CAMS,342,NSE_EQ,EQUITY,NIFTY500,Computer Age Management Services Ltd.,Financial Services,EQ,INE596I01020,2,50
CANBK,10794,NSE_EQ,EQUITY,NIFTY500,Canara Bank,Financial Services,EQ,INE476A01022,2,50
CANFINHOME,583,NSE_EQ,EQUITY,NIFTY500,Can Fin Homes Ltd.,Financial Services,EQ,INE477A01020,2,50
CANHLIFE,759477,NSE_EQ,EQUITY,NIFTY500,Canara HSBC Life Insurance Company Ltd.,Financial Services,EQ,INE01TY01017,2,50
CAPLIPOINT,3906,NSE_EQ,EQUITY,NIFTY500,Caplin Point Laboratories Ltd.,Healthcare,EQ,INE475E01026,2,50
CARBORUNIV,595,NSE_EQ,EQUITY,NIFTY500,Carborundum Universal Ltd.,Capital Goods,EQ,INE120A01034,2,50
CARTRADE,5407,NSE_EQ,EQUITY,NIFTY500,Cartrade Tech Ltd.,Consumer Services,EQ,INE290S01011,2,50
CASTROLIND,1250,NSE_EQ,EQUITY,NIFTY500,Castrol India Ltd.,Oil Gas & Consumable Fuels,EQ,INE172A01027,2,50
CCL,11452,NSE_EQ,EQUITY,NIFTY500,CCL Products (I) Ltd.,Fast Moving Consumer Goods,EQ,INE421D01022,2,50
CDSL,21174,NSE_EQ,EQUITY,NIFTY500,Central Depository Services (India) Ltd.,Financial Services,EQ,INE736A01011,2,50
CEATLTD,15254,NSE_EQ,EQUITY,NIFTY500,Ceat Ltd.,Automobile and Auto Components,EQ,INE482A01020,2,50
CEMPRO,5622,NSE_EQ,EQUITY,NIFTY500,Cemindia Projects Ltd.,Construction,EQ,INE686A01026,3,50
CENTRALBK,14894,NSE_EQ,EQUITY,NIFTY500,Central Bank of India,Financial Services,EQ,INE483A01010,3,50
CESC,628,NSE_EQ,EQUITY,NIFTY500,CESC Ltd.,Power,EQ,INE486A01021,3,50
CGCL,20329,NSE_EQ,EQUITY,NIFTY500,Capri Global Capital Ltd.,Financial Services,EQ,INE180C01042,3,50
CGPOWER,760,NSE_EQ,EQUITY,NIFTY500,CG Power and Industrial Solutions Ltd.,Capital Goods,EQ,INE067A01029,3,50
CHALET,8546,NSE_EQ,EQUITY,NIFTY500,Chalet Hotels Ltd.,Consumer Services,EQ,INE427F01016,3,50
CHAMBLFERT,637,NSE_EQ,EQUITY,NIFTY500,Chambal Fertilizers & Chemicals Ltd.,Chemicals,EQ,INE085A01013,3,50
CHENNPETRO,2049,NSE_EQ,EQUITY,NIFTY500,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE178A01016,3,50
CHOICEIN,8866,NSE_EQ,EQUITY,NIFTY500,Choice International Ltd.,Financial Services,EQ,INE102B01014,3,50
CHOLAFIN,685,NSE_EQ,EQUITY,NIFTY500,Cholamandalam Investment and Finance Company Ltd.,Financial Services,EQ,INE121A01024,3,50
CHOLAHLDNG,21740,NSE_EQ,EQUITY,NIFTY500,Cholamandalam Financial Holdings Ltd.,Financial Services,EQ,INE149A01033,3,50
CIEINDIA,14937,NSE_EQ,EQUITY,NIFTY500,CIE Automotive India Ltd.,Automobile and Auto Components,EQ,INE536H01010,3,50
CIPLA,694,NSE_EQ,EQUITY,NIFTY500,Cipla Ltd.,Healthcare,EQ,INE059A01026,3,50
CLEAN,5049,NSE_EQ,EQUITY,NIFTY500,Clean Science and Technology Ltd.,Chemicals,EQ,INE227W01023,3,50
COALINDIA,20374,NSE_EQ,EQUITY,NIFTY500,Coal India Ltd.,Oil Gas & Consumable Fuels,EQ,INE522F01014,3,50
COCHINSHIP,21508,NSE_EQ,EQUITY,NIFTY500,Cochin Shipyard Ltd.,Capital Goods,EQ,INE704P01025,3,50
COFORGE,11543,NSE_EQ,EQUITY,NIFTY500,Coforge Ltd.,Information Technology,EQ,INE591G01025,3,50
COHANCE,17945,NSE_EQ,EQUITY,NIFTY500,Cohance Lifesciences Ltd.,Healthcare,EQ,INE03QK01018,3,50
COLPAL,15141,NSE_EQ,EQUITY,NIFTY500,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,EQ,INE259A01022,3,50
CONCOR,4749,NSE_EQ,EQUITY,NIFTY500,Container Corporation of India Ltd.,Services,EQ,INE111A01025,3,50
CONCORDBIO,18060,NSE_EQ,EQUITY,NIFTY500,Concord Biotech Ltd.,Healthcare,EQ,INE338H01029,3,50
COROMANDEL,739,NSE_EQ,EQUITY,NIFTY500,Coromandel International Ltd.,Chemicals,EQ,INE169A01031,3,50
CPPLUS,758858,NSE_EQ,EQUITY,NIFTY500,Aditya Infotech Ltd.,Capital Goods,EQ,INE819V01029,3,50
CRAFTSMAN,2854,NSE_EQ,EQUITY,NIFTY500,Craftsman Automation Ltd.,Automobile and Auto Components,EQ,INE00LO01017,3,50
CREDITACC,4421,NSE_EQ,EQUITY,NIFTY500,CreditAccess Grameen Ltd.,Financial Services,EQ,INE741K01010,3,50
CRISIL,757,NSE_EQ,EQUITY,NIFTY500,CRISIL Ltd.,Financial Services,EQ,INE007A01025,3,50
CROMPTON,17094,NSE_EQ,EQUITY,NIFTY500,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,EQ,INE299U01018,3,50
CUB,5701,NSE_EQ,EQUITY,NIFTY500,City Union Bank Ltd.,Financial Services,EQ,INE491A01021,3,50
CUMMINSIND,1901,NSE_EQ,EQUITY,NIFTY500,Cummins India Ltd.,Capital Goods,EQ,INE298A01020,3,50
CYIENT,5748,NSE_EQ,EQUITY,NIFTY500,Cyient Ltd.,Information Technology,EQ,INE136B01020,3,50
DABUR,772,NSE_EQ,EQUITY,NIFTY500,Dabur India Ltd.,Fast Moving Consumer Goods,EQ,INE016A01026,3,50
DALBHARAT,8075,NSE_EQ,EQUITY,NIFTY500,Dalmia Bharat Ltd.,Construction Materials,EQ,INE00R701025,3,50
DATAPATTNS,7358,NSE_EQ,EQUITY,NIFTY500,Data Patterns (India) Ltd.,Capital Goods,EQ,INE0IX101010,3,50
DCMSHRIRAM,811,NSE_EQ,EQUITY,NIFTY500,DCM Shriram Ltd.,Diversified,EQ,INE499A01024,3,50
DEEPAKFERT,827,NSE_EQ,EQUITY,NIFTY500,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,EQ,INE501A01019,3,50
DEEPAKNTR,19943,NSE_EQ,EQUITY,NIFTY500,Deepak Nitrite Ltd.,Chemicals,EQ,INE288B01029,3,50
DELHIVERY,9599,NSE_EQ,EQUITY,NIFTY500,Delhivery Ltd.,Services,EQ,INE148O01028,3,50
DEVYANI,5373,NSE_EQ,EQUITY,NIFTY500,Devyani International Ltd.,Consumer Services,EQ,INE872J01023,3,50
DIVISLAB,10940,NSE_EQ,EQUITY,NIFTY500,Divi's Laboratories Ltd.,Healthcare,EQ,INE361B01024,3,50
DIXON,21690,NSE_EQ,EQUITY,NIFTY500,Dixon Technologies (India) Ltd.,Consumer Durables,EQ,INE935N01020,3,50
DLF,14732,NSE_EQ,EQUITY,NIFTY500,DLF Ltd.,Realty,EQ,INE271C01023,3,50
DMART,19913,NSE_EQ,EQUITY,NIFTY500,Avenue Supermarts Ltd.,Consumer Services,EQ,INE192R01011,3,50
DOMS,20551,NSE_EQ,EQUITY,NIFTY500,DOMS Industries Ltd.,Fast Moving Consumer Goods,EQ,INE321T01012,3,50
DRREDDY,881,NSE_EQ,EQUITY,NIFTY500,Dr. Reddy's Laboratories Ltd.,Healthcare,EQ,INE089A01031,3,50
ECLERX,15179,NSE_EQ,EQUITY,NIFTY500,eClerx Services Ltd.,Services,EQ,INE738I01010,3,50
EICHERMOT,910,NSE_EQ,EQUITY,NIFTY500,Eicher Motors Ltd.,Automobile and Auto Components,EQ,INE066A01021,3,50
EIDPARRY,916,NSE_EQ,EQUITY,NIFTY500,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EQ,INE126A01031,3,50
EIHOTEL,919,NSE_EQ,EQUITY,NIFTY500,EIH Ltd.,Consumer Services,EQ,INE230A01023,3,50
ELECON,13643,NSE_EQ,EQUITY,NIFTY500,Elecon Engineering Co. Ltd.,Capital Goods,EQ,INE205B01031,3,50
ELGIEQUIP,937,NSE_EQ,EQUITY,NIFTY500,Elgi Equipments Ltd.,Capital Goods,EQ,INE285A01027,3,50
EMAMILTD,13517,NSE_EQ,EQUITY,NIFTY500,Emami Ltd.,Fast Moving Consumer Goods,EQ,INE548C01032,4,50
EMCURE,24398,NSE_EQ,EQUITY,NIFTY500,Emcure Pharmaceuticals Ltd.,Healthcare,EQ,INE168P01015,4,50
EMMVEE,759728,NSE_EQ,EQUITY,NIFTY500,Emmvee Photovoltaic Power Ltd.,Capital Goods,EQ,INE1C6T01020,4,50
ENDURANCE,18822,NSE_EQ,EQUITY,NIFTY500,Endurance Technologies Ltd.,Automobile and Auto Components,EQ,INE913H01037,4,50
ENGINERSIN,4907,NSE_EQ,EQUITY,NIFTY500,Engineers India Ltd.,Construction,EQ,INE510A01028,4,50
ENRIN,756871,NSE_EQ,EQUITY,NIFTY500,Siemens Energy India Ltd.,Capital Goods,EQ,INE1NPP01017,4,50
ERIS,21154,NSE_EQ,EQUITY,NIFTY500,Eris Lifesciences Ltd.,Healthcare,EQ,INE406M01024,4,50
ESCORTS,958,NSE_EQ,EQUITY,NIFTY500,Escorts Kubota Ltd.,Capital Goods,EQ,INE042A01014,4,50
ETERNAL,5097,NSE_EQ,EQUITY,NIFTY500,Eternal Ltd.,Consumer Services,EQ,INE758T01015,4,50
EXIDEIND,676,NSE_EQ,EQUITY,NIFTY500,Exide Industries Ltd.,Automobile and Auto Components,EQ,INE302A01020,4,50
FACT,1008,NSE_EQ,EQUITY,NIFTY500,Fertilisers and Chemicals Travancore Ltd.,Chemicals,EQ,INE188A01015,4,50
FEDERALBNK,1023,NSE_EQ,EQUITY,NIFTY500,Federal Bank Ltd.,Financial Services,EQ,INE171A01029,4,50
FINCABLES,1038,NSE_EQ,EQUITY,NIFTY500,Finolex Cables Ltd.,Capital Goods,EQ,INE235A01022,4,50
FIRSTCRY,24814,NSE_EQ,EQUITY,NIFTY500,Brainbees Solutions Ltd.,Consumer Services,EQ,INE02RE01045,4,50
FIVESTAR,12032,NSE_EQ,EQUITY,NIFTY500,Five-Star Business Finance Ltd.,Financial Services,EQ,INE128S01021,4,50
FLUOROCHEM,13750,NSE_EQ,EQUITY,NIFTY500,Gujarat Fluorochemicals Ltd.,Chemicals,EQ,INE09N301011,4,50
FORCEMOT,11573,NSE_EQ,EQUITY,NIFTY500,Force Motors Ltd.,Automobile and Auto Components,EQ,INE451A01017,4,50
FORTIS,14592,NSE_EQ,EQUITY,NIFTY500,Fortis Healthcare Ltd.,Healthcare,EQ,INE061F01013,4,50
FSL,14304,NSE_EQ,EQUITY,NIFTY500,Firstsource Solutions Ltd.,Services,EQ,INE684F01012,4,50
GABRIEL,1085,NSE_EQ,EQUITY,NIFTY500,Gabriel India Ltd.,Automobile and Auto Components,EQ,INE524A01029,4,50
GAIL,4717,NSE_EQ,EQUITY,NIFTY500,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,EQ,INE129A01019,4,50
GALLANTT,13337,NSE_EQ,EQUITY,NIFTY500,Gallantt Ispat Ltd.,Capital Goods,EQ,INE297H01019,4,50
GESHIP,13776,NSE_EQ,EQUITY,NIFTY500,Great Eastern Shipping Co. Ltd.,Services,EQ,INE017A01032,4,50
GICRE,277,NSE_EQ,EQUITY,NIFTY500,General Insurance Corporation of India,Financial Services,EQ,INE481Y01014,4,50
GILLETTE,1576,NSE_EQ,EQUITY,NIFTY500,Gillette India Ltd.,Fast Moving Consumer Goods,EQ,INE322A01010,4,50
GLAND,1186,NSE_EQ,EQUITY,NIFTY500,Gland Pharma Ltd.,Healthcare,EQ,INE068V01023,4,50
GLAXO,1153,NSE_EQ,EQUITY,NIFTY500,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,EQ,INE159A01016,4,50
GLENMARK,7406,NSE_EQ,EQUITY,NIFTY500,Glenmark Pharmaceuticals Ltd.,Healthcare,EQ,INE935A01035,4,50
GMDCLTD,5204,NSE_EQ,EQUITY,NIFTY500,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,EQ,INE131A01031,4,50
GMRAIRPORT,13528,NSE_EQ,EQUITY,NIFTY500,GMR Airports Ltd.,Services,EQ,INE776C01039,4,50
GODFRYPHLP,1181,NSE_EQ,EQUITY,NIFTY500,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,EQ,INE260B01028,4,50
GODIGIT,23799,NSE_EQ,EQUITY,NIFTY500,Go Digit General Insurance Ltd.,Financial Services,EQ,INE03JT01014,4,50
GODREJCP,10099,NSE_EQ,EQUITY,NIFTY500,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE102D01028,4,50
GODREJIND,10925,NSE_EQ,EQUITY,NIFTY500,Godrej Industries Ltd.,Diversified,EQ,INE233A01035,4,50
GODREJPROP,17875,NSE_EQ,EQUITY,NIFTY500,Godrej Properties Ltd.,Realty,EQ,INE484J01027,4,50
GPIL,13409,NSE_EQ,EQUITY,NIFTY500,Godawari Power & Ispat Ltd.,Capital Goods,EQ,INE177H01039,4,50
GRANULES,11872,NSE_EQ,EQUITY,NIFTY500,Granules India Ltd.,Healthcare,EQ,INE101D01020,4,50
GRAPHITE,592,NSE_EQ,EQUITY,NIFTY500,Graphite India Ltd.,Capital Goods,EQ,INE371A01025,4,50
GRASIM,1232,NSE_EQ,EQUITY,NIFTY500,Grasim Industries Ltd.,Construction Materials,EQ,INE047A01021,4,50
GRAVITA,20534,NSE_EQ,EQUITY,NIFTY500,Gravita India Ltd.,Metals & Mining,EQ,INE024L01027,4,50
GROWW,759806,NSE_EQ,EQUITY,NIFTY500,Billionbrains Garage Ventures Ltd.,Financial Services,EQ,INE0HOQ01053,4,50
GRSE,5475,NSE_EQ,EQUITY,NIFTY500,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,EQ,INE382Z01011,4,50
GVT&D,16783,NSE_EQ,EQUITY,NIFTY500,GE Vernova T&D India Ltd.,Capital Goods,EQ,INE200A01026,4,50
HAL,2303,NSE_EQ,EQUITY,NIFTY500,Hindustan Aeronautics Ltd.,Capital Goods,EQ,INE066F01020,4,50
HAVELLS,9819,NSE_EQ,EQUITY,NIFTY500,Havells India Ltd.,Consumer Durables,EQ,INE176B01034,4,50
HBLENGINE,13966,NSE_EQ,EQUITY,NIFTY500,HBL Engineering Ltd.,Capital Goods,EQ,INE292B01021,4,50
HCLTECH,7229,NSE_EQ,EQUITY,NIFTY500,HCL Technologies Ltd.,Information Technology,EQ,INE860A01027,4,50
HDBFS,757772,NSE_EQ,EQUITY,NIFTY500,HDB Financial Services Ltd.,Financial Services,EQ,INE756I01012,4,50
HDFCAMC,4244,NSE_EQ,EQUITY,NIFTY500,HDFC Asset Management Company Ltd.,Financial Services,EQ,INE127D01025,4,50
HDFCBANK,1333,NSE_EQ,EQUITY,NIFTY500,HDFC Bank Ltd.,Financial Services,EQ,INE040A01034,4,50
HDFCLIFE,467,NSE_EQ,EQUITY,NIFTY500,HDFC Life Insurance Company Ltd.,Financial Services,EQ,INE795G01014,5,50
HEG,1336,NSE_EQ,EQUITY,NIFTY500,H.E.G. Ltd.,Capital Goods,EQ,INE545A01024,5,50
HEROMOTOCO,1348,NSE_EQ,EQUITY,NIFTY500,Hero MotoCorp Ltd.,Automobile and Auto Components,EQ,INE158A01026,5,50
HEXT,29666,NSE_EQ,EQUITY,NIFTY500,Hexaware Technologies Ltd.,Information Technology,EQ,INE093A01041,5,50
